crop_type,disease_type,disease_stage,crop_stage,region,is_organic_farming,temperature,humidity,rainfall,soil_ph,nitrogen,organic_pesticide,organic_application_method,organic_dosage,organic_frequency,non_organic_pesticide,non_organic_application_method,non_organic_dosage,non_organic_frequency
tomato,powdery mildew,advanced,flowering,Punjab,0,30.0,75.6,0,6.46,38.1,Panchagavya,Seed treatment,2.2 ml/L water,Every 7 days,Carbendazim,Foliar spray,1.5 g/L water,Once every 11 days
coconut,leaf blight,mid,seedling,Bihar,1,31.2,59.9,0,6.64,32.4,Beauveria bassiana,Foliar spray,3.2 ml/L water,Every 6 days,Confidor,Foliar spray,2.6 g/L water,Once every 17 days
coconut,powdery mildew,early,vegetative,Punjab,0,31.2,71.0,1,6.16,27.9,Beauveria bassiana,Drip irrigation,4.9 ml/L water,Every 8 days,Tilt (propiconazole),Broadcast spraying,2.5 g/L water,Once every 17 days
mungbean,downy mildew,advanced,vegetative,Tamil Nadu,1,26.6,72.2,4,6.98,49.2,Cow urine solution,Seed treatment,2.4 ml/L water,Every 10 days,Tilt (propiconazole),Broadcast spraying,1.3 g/L water,Once every 16 days
grapes,downy mildew,early,flowering,Punjab,1,31.1,74.4,1,6.71,41.9,Trichoderma viride,Foliar spray,4.0 ml/L water,Every 10 days,Ridomil Gold,Soil application,2.8 g/L water,Once every 17 days
pigeonpeas,downy mildew,early,fruiting,Karnataka,0,29.1,73.1,3,6.78,53.2,Panchagavya,Drip irrigation,2.2 ml/L water,Every 7 days,Bavistin,Foliar spray,2.2 g/L water,Once every 14 days
sugarcane,downy mildew,mid,vegetative,Tamil Nadu,1,34.0,58.7,2,6.82,44.3,Panchagavya,Soil drench,4.0 ml/L water,Every 8 days,Tilt (propiconazole),Broadcast spraying,2.5 g/L water,Once every 16 days
apple,powdery mildew,early,fruiting,Maharashtra,0,24.0,61.4,2,6.63,33.1,Garlic-chilli extract,Seed treatment,3.8 ml/L water,Every 7 days,Thiamethoxam,Soil application,2.2 g/L water,Once every 16 days
lentil,leaf blight,advanced,fruiting,Karnataka,1,32.8,46.6,1,6.83,28.5,Trichoderma viride,Seed treatment,2.5 ml/L water,Every 9 days,Bavistin,Foliar spray,2.3 g/L water,Once every 16 days
grapes,root rot,mid,flowering,Karnataka,0,33.9,75.3,2,6.97,57.5,Cow dung decoction,Soil drench,2.3 ml/L water,Every 10 days,Bavistin,Soil application,2.7 g/L water,Once every 15 days
wheat,root rot,mid,fruiting,Punjab,0,30.9,62.2,2,7.21,26.4,Beauveria bassiana,Drip irrigation,3.3 ml/L water,Every 10 days,Ridomil Gold,Broadcast spraying,2.9 g/L water,Once every 10 days
blackgram,powdery mildew,advanced,flowering,Bihar,1,24.8,68.3,1,7.15,40.8,Fish amino acid,Drip irrigation,3.3 ml/L water,Every 5 days,Bavistin,Soil application,1.5 g/L water,Once every 14 days
coconut,downy mildew,advanced,seedling,Bihar,1,28.3,65.0,0,6.72,28.3,Cow urine solution,Drip irrigation,4.5 ml/L water,Every 8 days,Bavistin,Soil application,2.9 g/L water,Once every 12 days
barley,stem rot,mid,fruiting,Bihar,0,27.1,60.2,2,6.5,32.9,Neem oil spray,Drip irrigation,3.3 ml/L water,Every 6 days,Ridomil Gold,Broadcast spraying,2.7 g/L water,Once every 15 days
mungbean,leaf blight,early,seedling,Tamil Nadu,1,33.4,58.5,1,5.9,44.4,Beauveria bassiana,Foliar spray,2.7 ml/L water,Every 9 days,Bavistin,Soil application,2.5 g/L water,Once every 10 days
mango,downy mildew,mid,fruiting,Bihar,1,29.9,70.3,1,6.43,33.3,Beauveria bassiana,Seed treatment,3.9 ml/L water,Every 10 days,Thiamethoxam,Soil application,2.4 g/L water,Once every 14 days
sugarcane,downy mildew,mid,seedling,Punjab,1,30.3,74.9,2,6.72,29.8,Beauveria bassiana,Seed treatment,3.4 ml/L water,Every 10 days,Fungicide M-45,Broadcast spraying,1.4 g/L water,Once every 11 days
watermelon,powdery mildew,early,seedling,Punjab,0,29.6,75.7,1,6.59,29.3,Cow dung decoction,Foliar spray,3.5 ml/L water,Every 6 days,Chlorpyrifos,Broadcast spraying,1.9 g/L water,Once every 14 days
rice,downy mildew,advanced,seedling,Punjab,0,30.6,78.8,0,6.29,36.6,Fish amino acid,Seed treatment,4.8 ml/L water,Every 9 days,Thiamethoxam,Broadcast spraying,2.0 g/L water,Once every 18 days
blackgram,downy mildew,advanced,vegetative,Tamil Nadu,1,27.2,65.6,2,6.83,48.7,Garlic-chilli extract,Foliar spray,2.1 ml/L water,Every 6 days,Confidor,Foliar spray,2.4 g/L water,Once every 12 days
coconut,leaf blight,advanced,flowering,Karnataka,1,26.7,61.8,0,6.25,45.8,Beauveria bassiana,Drip irrigation,3.4 ml/L water,Every 10 days,Confidor,Broadcast spraying,2.1 g/L water,Once every 10 days
papaya,stem rot,mid,vegetative,Karnataka,1,33.0,67.8,3,6.37,46.7,Garlic-chilli extract,Drip irrigation,4.9 ml/L water,Every 8 days,Thiamethoxam,Broadcast spraying,2.7 g/L water,Once every 14 days
maize,root rot,advanced,fruiting,Maharashtra,0,29.9,69.8,2,6.23,47.2,Trichoderma viride,Drip irrigation,3.4 ml/L water,Every 9 days,Tilt (propiconazole),Foliar spray,2.4 g/L water,Once every 11 days
muskmelon,root rot,early,fruiting,Tamil Nadu,1,34.2,76.6,2,6.42,33.4,Cow dung decoction,Seed treatment,2.7 ml/L water,Every 10 days,Bavistin,Foliar spray,2.7 g/L water,Once every 18 days
watermelon,leaf blight,advanced,seedling,Punjab,0,29.7,67.7,6,6.12,43.3,Beauveria bassiana,Foliar spray,2.5 ml/L water,Every 9 days,Thiamethoxam,Soil application,1.9 g/L water,Once every 19 days
coconut,root rot,mid,seedling,Karnataka,1,35.2,32.7,2,6.29,32.4,Panchagavya,Drip irrigation,2.6 ml/L water,Every 9 days,Carbendazim,Broadcast spraying,2.0 g/L water,Once every 13 days
cotton,downy mildew,advanced,fruiting,Punjab,0,32.5,83.7,5,6.39,46.6,Trichoderma viride,Drip irrigation,3.7 ml/L water,Every 10 days,Bavistin,Foliar spray,3.0 g/L water,Once every 11 days
potato,leaf blight,early,flowering,Punjab,1,31.3,65.0,1,6.33,26.2,Panchagavya,Drip irrigation,3.6 ml/L water,Every 9 days,Carbendazim,Foliar spray,2.9 g/L water,Once every 12 days
lentil,stem rot,mid,seedling,Bihar,0,26.7,67.9,3,5.85,32.2,Neem oil spray,Foliar spray,4.0 ml/L water,Every 6 days,Chlorpyrifos,Foliar spray,1.4 g/L water,Once every 15 days
blackgram,stem rot,early,fruiting,Maharashtra,1,33.2,69.2,3,6.37,33.2,Garlic-chilli extract,Drip irrigation,4.8 ml/L water,Every 7 days,Bavistin,Broadcast spraying,1.1 g/L water,Once every 19 days
mango,leaf blight,early,flowering,Karnataka,0,24.1,46.8,3,6.46,36.2,Panchagavya,Seed treatment,3.6 ml/L water,Every 8 days,Bavistin,Soil application,1.9 g/L water,Once every 13 days
millet,stem rot,advanced,vegetative,Tamil Nadu,0,27.0,70.3,4,6.58,39.3,Panchagavya,Seed treatment,4.0 ml/L water,Every 7 days,Ridomil Gold,Soil application,1.0 g/L water,Once every 17 days
papaya,downy mildew,mid,seedling,Tamil Nadu,1,29.4,51.4,1,6.2,35.4,Garlic-chilli extract,Seed treatment,4.8 ml/L water,Every 5 days,Fungicide M-45,Soil application,1.4 g/L water,Once every 10 days
barley,powdery mildew,mid,vegetative,Tamil Nadu,0,29.8,65.9,4,6.75,33.3,Cow dung decoction,Foliar spray,2.4 ml/L water,Every 5 days,Fungicide M-45,Broadcast spraying,2.0 g/L water,Once every 16 days
pigeonpeas,downy mildew,mid,flowering,Maharashtra,1,28.9,67.7,2,6.2,54.5,Beauveria bassiana,Soil drench,2.5 ml/L water,Every 9 days,Chlorpyrifos,Foliar spray,1.9 g/L water,Once every 15 days
maize,leaf blight,early,fruiting,Bihar,1,30.5,50.0,0,6.55,53.6,Cow dung decoction,Foliar spray,2.4 ml/L water,Every 6 days,Carbendazim,Soil application,2.2 g/L water,Once every 12 days
onion,leaf blight,early,vegetative,Karnataka,0,27.3,75.6,1,6.22,24.6,Cow urine solution,Soil drench,4.0 ml/L water,Every 9 days,Thiamethoxam,Soil application,1.1 g/L water,Once every 17 days
lentil,leaf blight,early,fruiting,Punjab,1,31.3,77.2,2,6.38,57.9,Fish amino acid,Drip irrigation,2.8 ml/L water,Every 5 days,Chlorpyrifos,Broadcast spraying,1.2 g/L water,Once every 11 days
watermelon,powdery mildew,mid,vegetative,Tamil Nadu,0,32.2,45.4,1,5.98,32.8,Garlic-chilli extract,Seed treatment,3.4 ml/L water,Every 10 days,Thiamethoxam,Broadcast spraying,1.3 g/L water,Once every 18 days
cotton,root rot,advanced,fruiting,Tamil Nadu,0,25.2,86.4,3,6.89,35.5,Panchagavya,Drip irrigation,2.5 ml/L water,Every 10 days,Tilt (propiconazole),Foliar spray,1.2 g/L water,Once every 19 days
pigeonpeas,root rot,early,vegetative,Karnataka,1,29.1,54.0,0,7.04,35.7,Beauveria bassiana,Drip irrigation,3.5 ml/L water,Every 9 days,Confidor,Broadcast spraying,1.5 g/L water,Once every 15 days
pomegranate,downy mildew,advanced,vegetative,Bihar,0,27.2,71.7,1,6.79,27.9,Cow urine solution,Drip irrigation,4.0 ml/L water,Every 8 days,Chlorpyrifos,Soil application,2.5 g/L water,Once every 10 days
blackgram,powdery mildew,advanced,flowering,Karnataka,1,31.1,70.4,4,6.18,35.5,Trichoderma viride,Seed treatment,2.2 ml/L water,Every 9 days,Thiamethoxam,Soil application,1.6 g/L water,Once every 19 days
mungbean,downy mildew,early,flowering,Punjab,0,34.4,76.6,1,7.0,48.5,Cow urine solution,Soil drench,2.9 ml/L water,Every 10 days,Ridomil Gold,Soil application,1.1 g/L water,Once every 19 days
banana,downy mildew,advanced,seedling,Maharashtra,1,26.6,53.6,2,6.42,42.9,Trichoderma viride,Seed treatment,4.3 ml/L water,Every 6 days,Carbendazim,Soil application,2.6 g/L water,Once every 16 days
onion,downy mildew,mid,fruiting,Tamil Nadu,1,25.9,68.4,2,6.1,45.8,Cow dung decoction,Foliar spray,2.4 ml/L water,Every 10 days,Confidor,Broadcast spraying,1.7 g/L water,Once every 17 days
sugarcane,root rot,early,flowering,Maharashtra,1,32.2,63.4,2,6.82,44.5,Cow urine solution,Seed treatment,2.0 ml/L water,Every 7 days,Chlorpyrifos,Foliar spray,1.4 g/L water,Once every 16 days
banana,powdery mildew,advanced,flowering,Punjab,0,30.6,76.0,2,6.95,53.7,Neem oil spray,Seed treatment,2.1 ml/L water,Every 6 days,Carbendazim,Foliar spray,1.8 g/L water,Once every 17 days
grapes,leaf blight,advanced,flowering,Bihar,1,30.5,51.9,1,5.96,46.6,Fish amino acid,Soil drench,2.3 ml/L water,Every 6 days,Thiamethoxam,Soil application,1.8 g/L water,Once every 12 days
sugarcane,root rot,advanced,flowering,Tamil Nadu,0,31.0,66.3,4,6.59,42.8,Panchagavya,Foliar spray,3.3 ml/L water,Every 5 days,Carbendazim,Broadcast spraying,2.2 g/L water,Once every 13 days
cotton,leaf blight,mid,flowering,Punjab,0,33.0,59.4,2,7.03,45.3,Trichoderma viride,Foliar spray,3.8 ml/L water,Every 8 days,Chlorpyrifos,Broadcast spraying,1.7 g/L water,Once every 19 days
orange,leaf blight,early,vegetative,Karnataka,1,34.2,61.3,2,6.9,53.2,Trichoderma viride,Soil drench,2.2 ml/L water,Every 10 days,Carbendazim,Foliar spray,1.0 g/L water,Once every 10 days
barley,downy mildew,early,seedling,Bihar,1,33.4,58.7,3,6.56,39.5,Cow dung decoction,Seed treatment,4.0 ml/L water,Every 10 days,Bavistin,Broadcast spraying,2.6 g/L water,Once every 14 days
banana,root rot,mid,seedling,Maharashtra,1,33.6,49.7,1,6.45,37.9,Trichoderma viride,Soil drench,4.7 ml/L water,Every 7 days,Chlorpyrifos,Foliar spray,2.2 g/L water,Once every 15 days
blackgram,root rot,advanced,fruiting,Tamil Nadu,0,29.3,78.3,2,6.4,47.9,Trichoderma viride,Drip irrigation,3.7 ml/L water,Every 6 days,Chlorpyrifos,Broadcast spraying,2.0 g/L water,Once every 17 days
mungbean,downy mildew,early,vegetative,Maharashtra,1,33.5,50.1,3,6.94,51.1,Neem oil spray,Drip irrigation,4.2 ml/L water,Every 7 days,Confidor,Broadcast spraying,1.0 g/L water,Once every 13 days
millet,leaf blight,early,seedling,Maharashtra,1,32.1,65.9,3,6.42,49.2,Cow dung decoction,Soil drench,4.3 ml/L water,Every 10 days,Tilt (propiconazole),Broadcast spraying,1.8 g/L water,Once every 12 days
cotton,leaf blight,mid,fruiting,Maharashtra,1,33.2,60.0,2,5.91,43.9,Cow dung decoction,Foliar spray,3.3 ml/L water,Every 9 days,Thiamethoxam,Soil application,1.0 g/L water,Once every 19 days
sugarcane,powdery mildew,mid,seedling,Karnataka,1,26.3,86.7,2,6.24,52.1,Garlic-chilli extract,Seed treatment,2.3 ml/L water,Every 8 days,Tilt (propiconazole),Soil application,2.2 g/L water,Once every 17 days
lentil,powdery mildew,early,seedling,Karnataka,1,32.0,66.0,1,6.27,19.0,Cow urine solution,Soil drench,3.7 ml/L water,Every 7 days,Thiamethoxam,Soil application,1.6 g/L water,Once every 17 days
blackgram,powdery mildew,advanced,flowering,Karnataka,1,27.9,71.1,1,6.81,46.9,Trichoderma viride,Seed treatment,2.4 ml/L water,Every 6 days,Thiamethoxam,Foliar spray,2.7 g/L water,Once every 10 days
banana,stem rot,mid,vegetative,Maharashtra,0,35.9,43.1,2,6.53,42.1,Cow urine solution,Foliar spray,4.5 ml/L water,Every 6 days,Bavistin,Foliar spray,1.5 g/L water,Once every 13 days
orange,downy mildew,mid,seedling,Tamil Nadu,1,29.3,60.6,1,6.84,50.5,Beauveria bassiana,Foliar spray,2.9 ml/L water,Every 7 days,Confidor,Broadcast spraying,2.6 g/L water,Once every 14 days
mango,powdery mildew,mid,fruiting,Punjab,1,30.0,75.7,1,6.47,34.5,Cow dung decoction,Seed treatment,3.3 ml/L water,Every 9 days,Carbendazim,Broadcast spraying,1.9 g/L water,Once every 12 days
wheat,root rot,mid,vegetative,Tamil Nadu,1,36.5,60.3,1,6.6,50.8,Panchagavya,Drip irrigation,3.0 ml/L water,Every 7 days,Fungicide M-45,Soil application,1.8 g/L water,Once every 18 days
lentil,stem rot,advanced,vegetative,Maharashtra,1,26.5,69.8,2,6.34,49.1,Cow urine solution,Seed treatment,3.9 ml/L water,Every 6 days,Ridomil Gold,Soil application,1.3 g/L water,Once every 12 days
chickpea,stem rot,mid,seedling,Karnataka,1,36.6,78.2,1,5.97,32.3,Beauveria bassiana,Foliar spray,4.1 ml/L water,Every 6 days,Fungicide M-45,Broadcast spraying,1.6 g/L water,Once every 12 days
blackgram,downy mildew,advanced,flowering,Maharashtra,1,30.0,67.2,3,6.73,38.4,Cow urine solution,Seed treatment,4.3 ml/L water,Every 6 days,Confidor,Soil application,2.1 g/L water,Once every 20 days
tomato,downy mildew,advanced,fruiting,Maharashtra,1,29.6,67.5,3,6.36,30.2,Fish amino acid,Foliar spray,4.0 ml/L water,Every 7 days,Carbendazim,Broadcast spraying,1.6 g/L water,Once every 14 days
cotton,stem rot,advanced,seedling,Punjab,1,28.8,66.1,0,6.61,37.5,Trichoderma viride,Soil drench,3.9 ml/L water,Every 8 days,Carbendazim,Broadcast spraying,1.9 g/L water,Once every 12 days
banana,leaf blight,early,seedling,Tamil Nadu,0,31.6,54.5,0,6.09,56.0,Panchagavya,Seed treatment,3.9 ml/L water,Every 8 days,Confidor,Soil application,2.5 g/L water,Once every 10 days
mothbeans,leaf blight,advanced,seedling,Punjab,1,33.2,62.3,1,6.67,46.8,Neem oil spray,Foliar spray,4.7 ml/L water,Every 10 days,Bavistin,Broadcast spraying,1.0 g/L water,Once every 16 days
potato,stem rot,advanced,flowering,Tamil Nadu,1,30.8,74.0,0,6.97,38.4,Cow dung decoction,Drip irrigation,2.7 ml/L water,Every 10 days,Fungicide M-45,Soil application,1.9 g/L water,Once every 19 days
barley,powdery mildew,mid,flowering,Maharashtra,0,31.7,55.2,1,6.36,40.6,Neem oil spray,Seed treatment,4.4 ml/L water,Every 6 days,Ridomil Gold,Broadcast spraying,2.4 g/L water,Once every 16 days
barley,root rot,mid,vegetative,Bihar,1,25.7,68.3,2,5.84,51.4,Fish amino acid,Drip irrigation,4.3 ml/L water,Every 8 days,Tilt (propiconazole),Soil application,1.2 g/L water,Once every 16 days
watermelon,powdery mildew,advanced,seedling,Punjab,0,33.0,66.9,5,6.24,44.3,Beauveria bassiana,Foliar spray,4.0 ml/L water,Every 9 days,Confidor,Soil application,1.2 g/L water,Once every 12 days
pigeonpeas,powdery mildew,advanced,seedling,Maharashtra,0,29.2,69.3,1,6.24,43.6,Trichoderma viride,Foliar spray,4.3 ml/L water,Every 7 days,Chlorpyrifos,Foliar spray,2.2 g/L water,Once every 16 days
grapes,downy mildew,advanced,fruiting,Bihar,0,29.9,80.6,3,6.64,37.2,Panchagavya,Foliar spray,2.3 ml/L water,Every 10 days,Confidor,Foliar spray,1.5 g/L water,Once every 12 days
muskmelon,downy mildew,early,fruiting,Punjab,0,28.7,56.9,2,6.76,39.1,Cow urine solution,Soil drench,4.8 ml/L water,Every 10 days,Chlorpyrifos,Broadcast spraying,2.8 g/L water,Once every 11 days
lentil,leaf blight,mid,flowering,Bihar,1,27.7,67.9,4,7.03,40.6,Garlic-chilli extract,Soil drench,3.2 ml/L water,Every 10 days,Bavistin,Soil application,2.6 g/L water,Once every 17 days
kidneybeans,powdery mildew,mid,vegetative,Karnataka,0,25.5,76.8,1,6.86,37.3,Trichoderma viride,Soil drench,2.4 ml/L water,Every 8 days,Confidor,Soil application,2.8 g/L water,Once every 13 days
tomato,root rot,advanced,seedling,Karnataka,1,28.3,67.8,0,7.03,40.4,Neem oil spray,Seed treatment,2.4 ml/L water,Every 9 days,Ridomil Gold,Soil application,2.7 g/L water,Once every 14 days
orange,leaf blight,early,fruiting,Tamil Nadu,0,32.6,68.9,0,6.92,44.4,Cow dung decoction,Seed treatment,4.7 ml/L water,Every 6 days,Fungicide M-45,Soil application,2.8 g/L water,Once every 20 days
wheat,root rot,mid,flowering,Maharashtra,1,27.9,52.4,4,6.3,42.8,Cow dung decoction,Soil drench,3.6 ml/L water,Every 5 days,Thiamethoxam,Foliar spray,2.5 g/L water,Once every 11 days
jute,stem rot,advanced,vegetative,Tamil Nadu,1,29.9,66.6,2,6.69,29.6,Cow urine solution,Foliar spray,4.1 ml/L water,Every 10 days,Ridomil Gold,Foliar spray,2.2 g/L water,Once every 11 days
orange,downy mildew,advanced,flowering,Maharashtra,0,34.9,57.8,2,6.83,41.4,Neem oil spray,Foliar spray,3.3 ml/L water,Every 8 days,Thiamethoxam,Soil application,1.6 g/L water,Once every 10 days
papaya,stem rot,mid,vegetative,Punjab,1,31.5,70.0,1,6.65,32.2,Panchagavya,Foliar spray,4.7 ml/L water,Every 9 days,Fungicide M-45,Soil application,2.4 g/L water,Once every 10 days
mothbeans,powdery mildew,mid,vegetative,Punjab,1,27.8,62.4,2,6.7,39.2,Beauveria bassiana,Soil drench,4.3 ml/L water,Every 9 days,Ridomil Gold,Foliar spray,1.6 g/L water,Once every 19 days
lentil,stem rot,early,flowering,Tamil Nadu,0,34.1,55.5,0,6.51,45.1,Cow urine solution,Foliar spray,3.0 ml/L water,Every 8 days,Bavistin,Foliar spray,1.1 g/L water,Once every 13 days
watermelon,powdery mildew,mid,seedling,Karnataka,1,32.6,45.1,2,7.11,37.0,Trichoderma viride,Seed treatment,4.3 ml/L water,Every 5 days,Ridomil Gold,Soil application,2.3 g/L water,Once every 19 days
grapes,root rot,mid,flowering,Karnataka,1,27.0,76.9,2,6.87,52.4,Cow dung decoction,Seed treatment,2.1 ml/L water,Every 9 days,Tilt (propiconazole),Soil application,2.9 g/L water,Once every 11 days
mungbean,stem rot,early,seedling,Bihar,1,25.6,55.9,2,7.11,35.6,Neem oil spray,Drip irrigation,3.8 ml/L water,Every 9 days,Tilt (propiconazole),Foliar spray,2.2 g/L water,Once every 16 days
banana,leaf blight,mid,flowering,Punjab,0,35.1,42.1,7,6.95,40.6,Beauveria bassiana,Seed treatment,2.4 ml/L water,Every 10 days,Chlorpyrifos,Soil application,1.0 g/L water,Once every 15 days
maize,root rot,advanced,seedling,Bihar,0,31.7,57.8,0,6.84,41.9,Fish amino acid,Soil drench,3.9 ml/L water,Every 10 days,Confidor,Broadcast spraying,1.0 g/L water,Once every 10 days
coconut,powdery mildew,advanced,vegetative,Punjab,0,34.8,60.4,3,6.21,41.7,Cow dung decoction,Seed treatment,3.8 ml/L water,Every 10 days,Bavistin,Soil application,2.1 g/L water,Once every 15 days
rice,root rot,mid,fruiting,Punjab,0,31.5,65.7,0,6.9,37.3,Fish amino acid,Drip irrigation,3.9 ml/L water,Every 7 days,Bavistin,Broadcast spraying,1.6 g/L water,Once every 16 days
barley,powdery mildew,early,fruiting,Karnataka,0,31.1,42.2,0,6.71,31.6,Panchagavya,Foliar spray,3.7 ml/L water,Every 6 days,Fungicide M-45,Foliar spray,2.9 g/L water,Once every 16 days
rice,root rot,mid,seedling,Tamil Nadu,0,31.4,75.5,4,6.09,39.3,Neem oil spray,Foliar spray,4.6 ml/L water,Every 6 days,Carbendazim,Soil application,1.2 g/L water,Once every 17 days
millet,downy mildew,mid,vegetative,Bihar,1,29.9,32.3,2,6.44,29.8,Fish amino acid,Seed treatment,3.3 ml/L water,Every 6 days,Thiamethoxam,Foliar spray,2.3 g/L water,Once every 17 days
rice,leaf blight,early,seedling,Karnataka,0,26.1,61.6,5,5.7,54.2,Panchagavya,Seed treatment,3.5 ml/L water,Every 9 days,Carbendazim,Foliar spray,2.2 g/L water,Once every 20 days
coconut,stem rot,mid,flowering,Bihar,0,29.3,60.6,4,6.39,24.7,Cow urine solution,Foliar spray,4.9 ml/L water,Every 5 days,Carbendazim,Foliar spray,2.8 g/L water,Once every 11 days
mothbeans,powdery mildew,early,vegetative,Karnataka,0,32.7,64.0,0,6.77,42.4,Cow dung decoction,Soil drench,4.1 ml/L water,Every 8 days,Ridomil Gold,Broadcast spraying,2.0 g/L water,Once every 12 days
sugarcane,downy mildew,mid,vegetative,Maharashtra,1,28.4,70.9,2,6.55,50.1,Beauveria bassiana,Soil drench,2.7 ml/L water,Every 6 days,Confidor,Foliar spray,2.2 g/L water,Once every 18 days
pigeonpeas,root rot,mid,flowering,Punjab,0,31.3,76.8,3,6.65,47.9,Panchagavya,Foliar spray,3.7 ml/L water,Every 8 days,Confidor,Soil application,1.3 g/L water,Once every 14 days
coffee,stem rot,mid,fruiting,Tamil Nadu,0,29.2,71.0,1,6.66,39.4,Garlic-chilli extract,Foliar spray,3.3 ml/L water,Every 5 days,Thiamethoxam,Soil application,1.8 g/L water,Once every 14 days
jute,leaf blight,early,flowering,Maharashtra,1,30.0,57.0,1,6.49,36.1,Fish amino acid,Foliar spray,4.9 ml/L water,Every 9 days,Bavistin,Soil application,1.7 g/L water,Once every 19 days
rice,downy mildew,early,seedling,Punjab,0,27.6,62.9,2,6.79,34.1,Trichoderma viride,Foliar spray,4.4 ml/L water,Every 5 days,Confidor,Soil application,1.9 g/L water,Once every 16 days
blackgram,powdery mildew,early,fruiting,Karnataka,1,29.1,42.9,1,6.6,37.5,Cow dung decoction,Foliar spray,2.6 ml/L water,Every 7 days,Carbendazim,Broadcast spraying,2.8 g/L water,Once every 10 days
lentil,powdery mildew,mid,fruiting,Punjab,0,36.7,83.3,4,6.23,46.2,Cow urine solution,Drip irrigation,4.9 ml/L water,Every 8 days,Chlorpyrifos,Broadcast spraying,1.7 g/L water,Once every 10 days
